Slovo	čęstota	Priměr	Formy	Komentaŕ
ni	17	Togda ne jesm govoril k njej ni o zmijah boa, ni o pralěsah, ni o zvězdah	ni	Обчесловjанско слово не в словнику
gledati	14	Zatom gledal jesm na to javjenje očami kruglymi od udivjenja	gledati, gledal, gledalo, gledajuči	Pravilne tutčasne formy sut ględěti, ględěl, ględělo. Jednakože slovnik ima glagoly poględati, izględati i duplety "obględěti/obględati", "obględěti/uględati".
milj	7	Prvogo večera jesm zasnul na pěsku, tyseč milj od kojegokoli naseljenogo města	milj	Pravilna tutčasna forma jest tyseč milej
Hm	7	«Hm! Hm!», odgovoril kralj	Hm	medžumetje
sbog	6	«Sbogom», rěkl on rozě	Sbogom	medžumetje
uličny	6	ulična lampa	ulična, uličnu, uličnogo	grěška (sedmičny)
těčenje	6	v těčenju tutogo žitja	těčenju	V tutčasnom pravopisu to se piše tečenje (bez ě)
zapad	6	sladkost zapadov solnca/On vozpomněl zapady solnca	zapadov, zapady	Slovnik ima slovo zapad, ale to slovo ne ima množiny
ugasiti	5	Dva dějuče vulkany i jedin ugašeny	ugašeny, ugašene	Pravilna tutčasna forma jest ugašany (od ugašati).
lamparj	5	Potom nastupal red lamparjev Rosije i Indije	lamparjev	--
efeměrny	5	«My ne zapisyvajemo je», rěkl geograf, «ibo cvěty sut efemerne.» 	efemerne, efemerna	--
lamparja	11	«Prikaz ne prěměnil se», rěkl lamparj	lamparj	pymorphy2 srazuměl to kako glagolny imperativ, a "lamparji" kako ZZensky immenik. V tutčasnom pravopisu to se piše lampaŕ (kako rybaŕ, lgaŕ, lěkaŕ, kuhaŕ, caŕ, sekretaŕ, pečętaŕ, notaŕ).
počuti	5	I on počul se mnogo neščestlivy	počul	To jest kombinacija čuti i prefiksa po-
umirajuči	5	člověček ne izgledal mi ni na zabludženogo, ni na umirajučego od glada	umirajučego, umirajučej	Slovnik ima slovo umirajuči kako nast. aktiv. pričestje od glagola umirati. Tute formy sut izhod sklonjenja togo pričestja po analogiji. pymorphy2 srazuměl to.
pogleděti	4	Idi ješče raz pogleděti na rozy	pogleděl, pogleděti	ględi vyše
kěšeny	4	iztegnul jesm iz kěšeni jedin list papira	kěšeni	V tutčasnom pravopisu to se piše kěšenji (od kěšenj)
popasti	4	zautra minuje god odkud ja popadl jesm na Zemju	popadl	to znači proniknuti
ukusnuti	3	Ne trěba, že zmija te ukusnula	ukusnula, ukusnuti, ukusnuli	kombinacija
zvonoček	3	To bude kako byh, vměsto zvězd, jesm ti dal množstvo malenjkyh zvonočkov	zvonočkov	grěška
por	3	Segda pora ti rabotati	pora	to znači "čas" ili "doba"
ugasilo	3	I ugasil svoju lampu	ugasil	pymorphy2 srazuměl to kako immenik v genitivu ili kako neznajemy glagol ugasiti. Voobce to jest kombinacija
člověčka	3	I uviděl jesm prěneobyčnogo malogo člověčka	člověčka, člověčku	grěška
nr	5	To byla moja rysovanka nr. 1	nr	skračenje od "numer"
grd	5	I byl jesm grdy	grdy	 pravopisu gȯrdy ne ima doslědnosti
B	4	asteroid B 612	B	
najglavnějši	4	Najglavnějše jest nevidimo očam	najglavnějše	grěška slovnikov pymorphy2
nogtje	3	tigri s svojimi ostrymi nogtjami	nogtjami, nogtjah, nogtje	pravopisu: nogtami, nogtah, nogte
lamparjati	3	on pozdravil lamparja s povagoju	lamparja, lamparjah	ględi vyše grěška s verjetnost
motyl	3	polětati od cvěta do cvěta kako motyl	motyly, motylami, motyl	V tutčasnom pravopisu to se piše motylj
krajovid	3	najkrasivějši i najsmutnějši krajovid na světu	krajovid	V tutčasnom pravopisu to se piše krajevid
